Start date;End date;Load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage consumption [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;52847.0;37645.0;-2033.0
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;51600.0;36866.0;-2067.0
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;50992.0;36625.0;-1685.0
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;48187.0;34794.0;-1989.0
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;46479.0;37872.0;-1967.0
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;46285.0;38037.0;-2687.0
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;46633.0;38546.0;-2764.0
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;46820.0;39122.0;-2416.0
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;46877.0;39124.0;-2378.0
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;47690.0;36469.0;-2692.0
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;49158.0;37290.0;-2615.0
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;50275.0;37407.0;-2639.0
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;50897.0;36826.0;-2189.0
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;49197.0;34264.0;-2116.0
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;48355.0;33670.0;-2051.0
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;47879.0;34473.0;-712.0
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;47633.0;36324.0;0.0
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;50761.0;41091.0;0.0
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;53965.0;43823.0;0.0
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;54973.0;43168.0;0.0
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;53641.0;40103.0;0.0
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;52244.0;37347.0;0.0
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;53034.0;37237.0;0.0
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;53157.0;37123.0;0.0
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;50832.0;34552.0;-107.0
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;49234.0;32735.0;-1559.0
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;48397.0;31681.0;-2928.0
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;46148.0;29518.0;-3023.0
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;45319.0;28755.0;-2958.0
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;46963.0;30458.0;-2846.0
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;50314.0;33877.0;-2444.0
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;53487.0;37205.0;-1802.0
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;55847.0;39338.0;-801.0
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;57652.0;41091.0;0.0
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;59159.0;42048.0;0.0
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;60575.0;42368.0;0.0
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;61433.0;42432.0;0.0
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;60080.0;40792.0;0.0
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;59888.0;40300.0;0.0
Jan 2, 2024 3:00 PM;Jan 2, 2024 4:00 PM;58747.0;39587.0;0.0
Jan 2, 2024 4:00 PM;Jan 2, 2024 5:00 PM;57433.0;39136.0;0.0
Jan 2, 2024 5:00 PM;Jan 2, 2024 6:00 PM;58778.0;41154.0;-27.0
Jan 2, 2024 6:00 PM;Jan 2, 2024 7:00 PM;61040.0;43961.0;0.0
Jan 2, 2024 7:00 PM;Jan 2, 2024 8:00 PM;61209.0;44454.0;0.0
Jan 2, 2024 8:00 PM;Jan 2, 2024 9:00 PM;58059.0;41528.0;0.0
Jan 2, 2024 9:00 PM;Jan 2, 2024 10:00 PM;55019.0;38337.0;0.0
Jan 2, 2024 10:00 PM;Jan 2, 2024 11:00 PM;54961.0;38103.0;-1117.0
Jan 2, 2024 11:00 PM;Jan 3, 2024 12:00 AM;54616.0;37985.0;-2042.0
Jan 3, 2024 12:00 AM;Jan 3, 2024 1:00 AM;52058.0;35366.0;-2425.0
Jan 3, 2024 1:00 AM;Jan 3, 2024 2:00 AM;50384.0;33761.0;-2083.0
