Start date;End date;Wind onshore [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Solar [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Hydro Run-of-River [MWh] Calculated resolutions;Hydro water reservoir [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Fossil hard coal [MWh] Calculated resolutions;Fossil oil [MWh] Calculated resolutions;Biomass [MWh] Calculated resolutions;Waste [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;14399.0;578.0;225.0;40387.0;4822.0;1481.0;0.0;1810.0;15.0;162.0;343.0;87.0
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;14157.0;577.0;0.0;37528.0;4767.0;1282.0;0.0;1840.0;16.0;191.0;343.0;83.0
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;13789.0;578.0;0.0;37320.0;4918.0;1005.0;0.0;1787.0;16.0;190.0;343.0;87.0
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;12816.0;577.0;0.0;36954.0;4876.0;936.0;0.0;1778.0;15.0;190.0;343.0;87.0
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;8031.0;576.0;0.0;36906.0;4863.0;798.0;0.0;1765.0;15.0;191.0;343.0;88.0
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;7678.0;570.0;0.0;36344.0;4869.0;731.0;0.0;1779.0;15.0;191.0;343.0;93.0
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;7520.0;567.0;0.0;36148.0;4797.0;734.0;0.0;1766.0;15.0;190.0;342.0;91.0
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;7142.0;556.0;0.0;36740.0;4655.0;760.0;0.0;1769.0;15.0;190.0;343.0;93.0
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;6942.0;565.0;246.0;36510.0;4682.0;1058.0;0.0;1881.0;15.0;190.0;343.0;93.0
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;10361.0;542.0;318.0;35080.0;4811.0;750.0;0.0;1877.0;16.0;190.0;344.0;94.0
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;10525.0;410.0;933.0;35665.0;4859.0;766.0;0.0;1894.0;16.0;190.0;343.0;94.0
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;9949.0;465.0;2454.0;36702.0;4828.0;848.0;0.0;1896.0;16.0;190.0;343.0;96.0
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;9505.0;545.0;4021.0;36729.0;4812.0;854.0;0.0;1894.0;16.0;191.0;343.0;95.0
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;9492.0;558.0;4883.0;37065.0;4755.0;850.0;0.0;1914.0;16.0;191.0;343.0;93.0
