Start date;End date;Belgium (net export) [MWh] Calculated resolutions;Germany (net export) [MWh] Calculated resolutions;Italy (net export) [MWh] Calculated resolutions;Spain (net export) [MWh] Calculated resolutions;Switzerland (net export) [MWh] Calculated resolutions;United Kingdom (net export) [MWh] Calculated resolutions;sum (net export) [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;1513.0;835.0;-2235.0;-2636.0;-2214.0;-1447.0;-6184.0
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;1488.5;90.0;-2102.0;-2636.0;-2280.0;-1431.0;-6870.5
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;1926.0;732.0;-2495.0;-2636.0;-2142.0;-1878.0;-6493.0
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;2324.5;1214.0;-2438.0;-2636.0;-1980.0;-1023.0;-4538.5
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;1719.5;1900.0;-2380.0;-2590.0;-1874.0;-1394.0;-4617.5
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;1469.0;2900.0;-2380.0;-2590.0;-1994.0;-1224.0;-3819.5
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;3170.5;548.0;-2322.0;-2600.0;-1853.0;-1167.0;-4223.0
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;2643.0;1295.0;-2319.0;-2600.0;-1662.0;-1600.0;-4243.0
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;1992.5;1442.0;-2092.0;-2600.0;-1455.0;-2027.0;-4739.5
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;1020.5;111.0;-908.0;-2913.0;-1388.0;-2622.0;-6699.5
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;888.0;455.0;-871.0;-2913.0;-1310.0;-2522.0;-6272.5
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;597.0;814.0;-928.0;-2251.0;-1418.0;-3014.0;-6200.5
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;993.0;-278.0;-1110.0;-1862.0;-1686.0;-3014.0;-6957.0
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;451.5;-861.0;-1803.0;-1757.0;-1649.0;-3014.0;-8632.5
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;-461.0;-2198.0;-2265.0;-697.0;-2377.0;-3014.0;-11013.0
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;-2569.5;-2733.0;-2438.0;1526.0;-3200.0;-3013.0;-12427.5
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;-3154.0;-3106.0;-2438.0;-354.0;-3200.0;-3014.0;-15266.0
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;-2509.0;-1698.0;-2438.0;-2786.0;-3200.0;-3014.0;-15645.0
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;-2972.0;-1080.0;-2438.0;-2833.0;-3162.0;-3014.0;-15499.0
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;-2259.0;-2448.0;-2186.0;-2800.0;-3200.0;-3014.0;-15907.0
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;-2588.0;-2957.0;-2249.0;-2800.0;-3190.0;-3014.0;-16798.5
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;-2264.5;-2951.0;-2438.0;-2800.0;-3200.0;-3014.0;-16667.5
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;-2410.0;-2734.0;-2438.0;-2800.0;-3198.0;-2931.0;-16512.0
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;-1294.0;-2791.0;-2337.0;-2800.0;-3200.0;-2075.0;-14497.0
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;-1029.5;-3901.0;-2309.0;-2450.0;-3200.0;-1912.0;-14801.5
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;-2038.0;-4553.0;-2216.0;-2450.0;-3200.0;-1198.0;-15655.0
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;-812.0;-3202.0;-2495.0;-2450.0;-3200.0;-1518.0;-13677.0
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;-825.0;-3653.0;-2380.0;-2450.0;-3200.0;-1746.0;-14254.0
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;-952.5;-3955.0;-2438.0;-2775.0;-3200.0;-1828.0;-15148.5
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;-982.0;-4180.0;-2553.0;-2775.0;-3200.0;-1724.0;-15414.5
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;-2051.0;-3789.0;-2669.0;-3000.0;-3200.0;-1596.0;-16305.0
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;-1827.5;-3546.0;-2687.0;-3000.0;-3200.0;-2612.0;-16873.0
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;-2372.0;-3881.0;-2855.0;-1931.0;-3200.0;-2994.0;-17233.0
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;-3869.0;-3893.0;-2966.0;-1303.0;-3200.0;-3014.0;-18245.0
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;-4184.0;-4162.0;-2966.0;-872.0;-3200.0;-3014.0;-18398.0
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;-4448.5;-4067.0;-3022.0;-161.0;-3200.0;-3014.0;-17912.5
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;-4236.0;-3683.0;-3078.0;-913.0;-3200.0;-3014.0;-18125.0
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;-4214.0;-4013.0;-3078.0;-1260.0;-3200.0;-3014.0;-18779.0
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;-4068.0;-4013.0;-3134.0;-601.0;-3200.0;-3014.0;-18030.0
Jan 2, 2024 3:00 PM;Jan 2, 2024 4:00 PM;-3986.0;-3571.0;-3246.0;-279.0;-3200.0;-3014.0;-17296.0
Jan 2, 2024 4:00 PM;Jan 2, 2024 5:00 PM;-3583.0;-2610.0;-3301.0;-1396.0;-3200.0;-3014.0;-17104.0
Jan 2, 2024 5:00 PM;Jan 2, 2024 6:00 PM;-3212.0;-3183.0;-3357.0;0.0;-3054.0;-3014.0;-15820.0
Jan 2, 2024 6:00 PM;Jan 2, 2024 7:00 PM;-3321.0;-3146.0;-3413.0;-128.0;-3200.0;-3014.0;-16223.0
Jan 2, 2024 7:00 PM;Jan 2, 2024 8:00 PM;-3284.5;-4171.0;-3413.0;-645.0;-3200.0;-3014.0;-17728.0
Jan 2, 2024 8:00 PM;Jan 2, 2024 9:00 PM;-2333.5;-3426.0;-3413.0;-2653.0;-3150.0;-3014.0;-17989.5
Jan 2, 2024 9:00 PM;Jan 2, 2024 10:00 PM;-1862.0;-3245.0;-1656.0;-2600.0;-3200.0;-3014.0;-15577.0
Jan 2, 2024 10:00 PM;Jan 2, 2024 11:00 PM;-1439.5;-2433.0;-1487.0;-2600.0;-3200.0;-3014.0;-14173.5
Jan 2, 2024 11:00 PM;Jan 3, 2024 12:00 AM;-415.5;-467.0;-2839.0;-2600.0;-3200.0;-3014.0;-12535.5
Jan 3, 2024 12:00 AM;Jan 3, 2024 1:00 AM;-1705.0;-1827.0;-3567.0;-2775.0;-3179.0;-2747.0;-15800.5
Jan 3, 2024 1:00 AM;Jan 3, 2024 2:00 AM;-1314.0;-2318.0;-3361.0;-2733.0;-3200.0;-2785.0;-15711.0
Jan 3, 2024 2:00 AM;Jan 3, 2024 3:00 AM;21.0;-830.0;-2707.0;-2041.0;-3064.0;-2863.0;-11483.5
Jan 3, 2024 3:00 AM;Jan 3, 2024 4:00 AM;7.5;-821.0;-2658.0;-2337.0;-3072.0;-2915.0;-11796.0
Jan 3, 2024 4:00 AM;Jan 3, 2024 5:00 AM;-229.5;-1002.0;-2261.0;-1856.0;-3173.0;-2915.0;-11436.5
