Start date;End date;France [€/MWh] Calculated resolutions;Germany/Luxembourg [€/MWh] Calculated resolutions;Spain [€/MWh] Calculated resolutions;Italy North [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Portugal [€/MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;0.1;0.1;63.33;107.09;0.1;25.97;0.1;0.1;76.69;16.99;
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;0.01;0.01;50.09;104.0;0.01;21.99;0.01;0.01;74.5;28.14;50.09
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;0.0;0.0;47.5;100.0;0.0;14.32;0.0;0.02;73.29;26.66;47.5
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;-0.01;-0.01;43.5;85.66;-0.01;11.37;-0.01;0.0;71.58;4.14;43.5
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;-0.03;-0.03;42.5;85.0;-0.03;11.35;-0.03;-0.01;73.27;-0.03;42.5
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;-0.02;-0.02;42.09;85.53;-0.02;11.39;-0.02;-0.01;74.32;-0.02;42.09
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;-0.04;-0.05;42.5;95.07;-0.05;11.34;-0.05;0.0;76.69;-0.05;42.5
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;-0.01;-0.02;42.59;104.07;-0.02;8.31;-0.02;0.0;74.55;-0.02;42.59
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;0.0;0.0;43.37;106.95;0.0;8.51;0.0;0.0;72.25;0.0;43.37
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;0.04;0.04;42.29;107.08;0.04;10.63;0.04;0.04;76.01;0.08;42.29
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;0.06;0.06;25.0;104.0;0.06;9.75;0.06;0.06;82.2;41.34;35.61
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;0.54;0.54;3.9;98.13;0.54;8.24;0.54;0.54;82.91;43.51;29.8
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;2.24;2.24;3.2;101.55;2.24;10.71;2.24;2.24;80.87;43.02;3.2
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;2.06;1.96;2.06;98.16;2.0;9.31;1.97;2.58;79.79;44.29;2.06
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;1.73;1.04;1.73;98.17;1.35;11.51;1.13;5.29;82.68;46.24;1.73
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;5.72;3.66;5.72;105.54;4.13;20.41;3.19;22.22;77.56;50.61;5.72
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;18.49;43.06;18.49;110.0;27.96;29.09;40.0;47.61;75.46;59.47;18.49
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;37.0;49.93;37.0;120.04;50.37;42.1;84.46;56.53;74.16;64.99;37.0
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;47.5;58.0;47.5;131.5;53.76;48.83;61.74;59.06;74.16;61.74;47.5
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;54.97;54.25;54.97;132.0;56.77;43.31;61.27;55.01;75.61;61.27;54.97
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;48.61;48.01;60.9;127.75;51.4;42.59;59.97;48.76;86.1;59.97;60.9
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;24.88;42.95;60.0;113.48;35.39;35.0;54.92;41.36;86.02;54.92;60.0
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;35.89;47.09;47.5;109.18;40.74;34.01;47.65;45.95;81.21;47.65;47.5
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;35.55;35.55;42.09;107.2;35.55;26.07;35.55;35.55;77.26;35.55;42.09
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;19.49;30.59;37.8;105.49;23.92;22.24;29.39;29.22;82.35;30.59;37.8
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;16.12;20.07;25.0;90.09;17.7;14.0;19.6;19.58;81.39;20.07;25.61
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;0.06;31.03;3.99;84.27;12.39;11.32;27.33;27.57;81.04;31.03;20.61
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;0.02;18.39;14.0;84.27;7.35;9.66;16.2;15.67;81.46;18.39;14.54
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;0.01;11.08;10.0;84.27;4.19;10.01;9.5;9.69;90.75;11.08;13.21
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;0.09;13.78;14.54;100.0;4.75;11.36;11.2;27.59;91.67;13.78;14.54
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;20.74;47.63;36.29;108.28;31.59;19.89;44.43;45.09;91.78;47.63;36.29
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;44.7;58.1;44.7;113.85;49.96;40.56;56.56;65.89;94.89;58.1;44.7
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;53.78;65.67;53.78;126.9;58.46;48.36;64.28;70.99;94.23;65.67;53.78
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;54.23;64.73;54.23;119.5;59.05;51.81;66.12;69.95;91.74;64.73;54.23
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;50.0;68.98;50.0;110.6;68.65;51.89;70.6;70.63;87.51;68.98;50.0
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;52.2;73.54;52.2;108.28;74.18;55.87;78.8;73.97;87.38;73.54;52.2
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;45.0;78.16;45.0;105.88;65.02;58.49;99.9;77.85;87.39;78.16;45.0
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;43.0;78.87;43.0;100.15;64.71;61.17;102.5;78.6;89.07;78.87;43.0
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;43.0;79.24;43.0;108.28;66.74;64.98;110.6;80.4;94.14;79.24;43.0
Jan 2, 2024 3:00 PM;Jan 2, 2024 4:00 PM;40.99;79.96;40.99;110.0;64.43;67.44;105.7;81.0;97.14;79.96;40.99
Jan 2, 2024 4:00 PM;Jan 2, 2024 5:00 PM;43.66;83.46;43.66;112.8;65.04;72.51;100.7;83.56;99.25;81.46;43.66
Jan 2, 2024 5:00 PM;Jan 2, 2024 6:00 PM;52.2;80.92;52.2;129.99;73.85;75.8;118.93;82.96;94.89;80.92;52.2
Jan 2, 2024 6:00 PM;Jan 2, 2024 7:00 PM;57.77;74.95;57.77;130.0;66.62;67.84;81.3;77.28;91.7;74.95;57.77
Jan 2, 2024 7:00 PM;Jan 2, 2024 8:00 PM;62.45;63.18;62.45;124.29;64.36;60.03;70.1;68.93;88.52;63.18;62.45
Jan 2, 2024 8:00 PM;Jan 2, 2024 9:00 PM;58.0;57.11;58.0;111.26;60.0;48.26;66.7;58.85;87.37;57.11;58.0
Jan 2, 2024 9:00 PM;Jan 2, 2024 10:00 PM;47.9;46.89;52.83;108.28;49.5;33.12;54.9;47.84;87.94;46.89;52.83
Jan 2, 2024 10:00 PM;Jan 2, 2024 11:00 PM;41.67;40.0;46.26;106.0;44.19;28.8;53.18;41.05;91.82;40.0;46.26
Jan 2, 2024 11:00 PM;Jan 3, 2024 12:00 AM;21.42;7.43;40.1;92.41;26.83;18.01;54.9;20.42;83.49;21.81;40.1
