Start date;End date;Forecasted load J [MWh] Calculated resolutions;Forecasted load J-1 [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;53037.5;54025.0
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;51587.5;52837.5
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;51112.5;51550.0
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;48375.0;48950.0
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;46612.5;46875.0
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;46187.5;46087.5
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;46512.5;45437.5
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;46800.0;45112.5
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;46775.0;45312.5
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;47600.0;45862.5
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;48862.5;48225.0
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;50125.0;50775.0
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;50837.5;51125.0
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;49575.0;49800.0
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;48600.0;48800.0
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;47600.0;47800.0
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;47137.5;47337.5
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;49537.5;49737.5
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;52375.0;52575.0
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;53600.0;53800.0
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;52150.0;52350.0
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;50762.5;50962.5
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;51012.5;51212.5
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;52500.0;52425.0
