Start date;End date;Photovoltaics and wind [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions
Jan 1, 2024 12:00 AM;Jan 1, 2024 1:00 AM;15290.36;240.0;15050.36;0.0
Jan 1, 2024 1:00 AM;Jan 1, 2024 2:00 AM;15018.51;240.0;14778.51;0.0
Jan 1, 2024 2:00 AM;Jan 1, 2024 3:00 AM;14601.58;240.0;14361.58;0.0
Jan 1, 2024 3:00 AM;Jan 1, 2024 4:00 AM;14179.37;240.0;13939.37;0.0
Jan 1, 2024 4:00 AM;Jan 1, 2024 5:00 AM;13754.28;240.0;13514.28;0.0
Jan 1, 2024 5:00 AM;Jan 1, 2024 6:00 AM;13076.23;240.0;12836.23;0.0
Jan 1, 2024 6:00 AM;Jan 1, 2024 7:00 AM;12397.88;240.0;12157.88;0.0
Jan 1, 2024 7:00 AM;Jan 1, 2024 8:00 AM;11718.27;240.0;11478.27;0.0
Jan 1, 2024 8:00 AM;Jan 1, 2024 9:00 AM;11301.4;240.0;11061.4;0.0
Jan 1, 2024 9:00 AM;Jan 1, 2024 10:00 AM;11123.44;240.0;10644.33;239.11
Jan 1, 2024 10:00 AM;Jan 1, 2024 11:00 AM;11936.68;240.0;10227.5;1469.18
Jan 1, 2024 11:00 AM;Jan 1, 2024 12:00 PM;13647.08;240.0;10491.84;2915.24
Jan 1, 2024 12:00 PM;Jan 1, 2024 1:00 PM;14922.279999999999;240.0;10756.21;3926.07
Jan 1, 2024 1:00 PM;Jan 1, 2024 2:00 PM;15414.95;240.0;11018.48;4156.47
Jan 1, 2024 2:00 PM;Jan 1, 2024 3:00 PM;14667.36;240.0;10672.25;3755.11
Jan 1, 2024 3:00 PM;Jan 1, 2024 4:00 PM;13312.93;240.0;10325.58;2747.35
Jan 1, 2024 4:00 PM;Jan 1, 2024 5:00 PM;11319.48;240.0;9980.16;1099.32
Jan 1, 2024 5:00 PM;Jan 1, 2024 6:00 PM;11069.48;240.0;10763.75;65.73
Jan 1, 2024 6:00 PM;Jan 1, 2024 7:00 PM;11789.53;240.0;11549.53;0.0
Jan 1, 2024 7:00 PM;Jan 1, 2024 8:00 PM;12576.34;240.0;12336.34;0.0
Jan 1, 2024 8:00 PM;Jan 1, 2024 9:00 PM;13901.83;240.0;13661.83;0.0
Jan 1, 2024 9:00 PM;Jan 1, 2024 10:00 PM;15226.92;240.0;14986.92;0.0
Jan 1, 2024 10:00 PM;Jan 1, 2024 11:00 PM;16551.739999999998;240.0;16311.74;0.0
Jan 1, 2024 11:00 PM;Jan 2, 2024 12:00 AM;17121.7;240.0;16881.7;0.0
Jan 2, 2024 12:00 AM;Jan 2, 2024 1:00 AM;17223.7;240.0;16983.7;0.0
Jan 2, 2024 1:00 AM;Jan 2, 2024 2:00 AM;17895.43;240.0;17655.43;0.0
Jan 2, 2024 2:00 AM;Jan 2, 2024 3:00 AM;18169.73;240.0;17929.73;0.0
Jan 2, 2024 3:00 AM;Jan 2, 2024 4:00 AM;18437.93;240.0;18197.93;0.0
Jan 2, 2024 4:00 AM;Jan 2, 2024 5:00 AM;18702.18;240.0;18462.18;0.0
Jan 2, 2024 5:00 AM;Jan 2, 2024 6:00 AM;18720.81;240.0;18480.81;0.0
Jan 2, 2024 6:00 AM;Jan 2, 2024 7:00 AM;18738.83;240.0;18498.83;0.0
Jan 2, 2024 7:00 AM;Jan 2, 2024 8:00 AM;18753.95;240.0;18513.95;0.0
Jan 2, 2024 8:00 AM;Jan 2, 2024 9:00 AM;18801.82;240.0;18561.82;0.0
Jan 2, 2024 9:00 AM;Jan 2, 2024 10:00 AM;19079.48;240.0;18609.35;230.13
Jan 2, 2024 10:00 AM;Jan 2, 2024 11:00 AM;20284.100000000002;240.0;18658.45;1385.65
Jan 2, 2024 11:00 AM;Jan 2, 2024 12:00 PM;22110.83;240.0;18914.86;2955.97
Jan 2, 2024 12:00 PM;Jan 2, 2024 1:00 PM;23519.480000000003;240.0;19169.83;4109.65
Jan 2, 2024 1:00 PM;Jan 2, 2024 2:00 PM;23968.449999999997;240.0;19423.1;4305.35
Jan 2, 2024 2:00 PM;Jan 2, 2024 3:00 PM;23371.0;240.0;19486.06;3644.94
Jan 2, 2024 3:00 PM;Jan 2, 2024 4:00 PM;22224.510000000002;240.0;19541.68;2442.83
Jan 2, 2024 4:00 PM;Jan 2, 2024 5:00 PM;20779.04;240.0;19597.25;941.79
Jan 2, 2024 5:00 PM;Jan 2, 2024 6:00 PM;19571.35;240.0;19282.57;48.78
Jan 2, 2024 6:00 PM;Jan 2, 2024 7:00 PM;19209.02;240.0;18969.02;0.0
Jan 2, 2024 7:00 PM;Jan 2, 2024 8:00 PM;18895.93;240.0;18655.93;0.0
Jan 2, 2024 8:00 PM;Jan 2, 2024 9:00 PM;18418.72;240.0;18178.72;0.0
