"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","15050.36","15195.12","15195.12","14399.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","14778.51","14884.66","14884.66","14157.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","14361.58","14478.17","14478.17","13789.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","13939.37","14065.11","14065.11","12816.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","13514.28","13649.35","13649.35","8031.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","12836.23","13055.28","13055.28","7678.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","12157.88","12457.85","12457.85","7520.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","11478.27","9938.40","9938.40","7142.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","11061.40","9986.82","9986.82","6942.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","10644.33","9760.44","9760.44","10361.00"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","10227.50","9371.19","10705.03","10525.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","10491.84","9525.17","10606.09","9949.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","10756.21","9640.47","10535.51","9505.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","11018.48","9717.72","10484.09","9492.00"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FR","10672.25","9627.72","10295.54","9209.00"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|FR","10325.58","9524.60","10113.01","8667.00"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|FR","9980.16","9401.31","9919.63","8035.00"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|FR","10763.75","10036.18","10517.07","8125.00"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|FR","11549.53","10664.42","11115.56","9316.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|FR","12336.34","11292.84","11715.44","11235.00"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|FR","13661.83","12638.45","13034.74","12970.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|FR","14986.92","13977.46","14354.37","14329.00"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|FR","16311.74","15311.95","15672.63","15231.00"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|FR","16881.70","16011.32","16357.04","15469.00"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|FR","16983.70","17365.34","17365.34","15712.00"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|FR","17655.43","18030.74","18030.74","15931.00"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|FR","17929.73","18254.95","18254.95","16148.00"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|FR","18197.93","18471.59","18471.59","16062.00"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|FR","18462.18","18683.21","18683.21","15999.00"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|FR","18480.81","18579.94","18579.94","15937.00"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|FR","18498.83","18472.23","18472.23","15869.00"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|FR","18513.95","17333.13","17333.13","15714.00"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|FR","18561.82","17678.47","17678.47","15713.00"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|FR","18609.35","17906.12","17906.12","15712.00"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|FR","18658.45","18083.55","17016.66","15932.00"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|FR","18914.86","18602.97","17921.37","16293.00"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|FR","19169.83","19093.22","18628.77","16462.00"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|FR","19423.10","19565.48","19214.68","16553.00"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|FR","19486.06","19616.35","19346.75","16784.00"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|FR","19541.68","19651.67","19449.33","16765.00"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|FR","19597.25","19676.08","19522.05","16673.00"
