"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","225.00"
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","246.00"
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|FR","239.11","240.49","240.49","318.00"
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|FR","1469.18","1533.84","1790.32","933.00"
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|FR","2915.24","3160.91","3398.12","2454.00"
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|FR","3926.07","4200.54","4368.31","4021.00"
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|FR","4156.47","4550.44","4694.17","4883.00"
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|FR","3755.11","4031.39","4135.64","4926.00"
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|FR","2747.35","2894.67","2893.69","4188.00"
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|FR","1099.32","1183.84","1183.59","2703.00"
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|FR","65.73","69.49","69.45","971.00"
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","257.00"
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|FR","0.00","0.00","0.00","232.00"
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|FR","230.13","216.85","216.85","281.00"
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|FR","1385.65","1371.96","1102.09","611.00"
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|FR","2955.97","2822.56","2210.43","1346.00"
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|FR","4109.65","3900.52","3212.32","1971.00"
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|FR","4305.35","3991.87","3626.18","2175.00"
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|FR","3644.94","3367.84","3212.48","2242.00"
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|FR","2442.83","2247.17","2246.21","1832.00"
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|FR","941.79","876.77","876.60","1063.00"
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|FR","48.78","53.44","53.44","484.00"
"02/01/2024 18:00:00 - 02/01/2024 19:00:00","BZN|FR","0.00","0.00","0.00","236.00"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","BZN|FR","0.00","0.00","0.00","0.00"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","BZN|FR","0.00","0.00","0.00","0.00"
